,number,assignment_group,assigned_to
144,INC0000086,70,1
145,INC0000086,70,1
146,INC0000086,23,1
147,INC0000086,23,1
148,INC0000086,23,1
149,INC0000086,23,1
150,INC0000086,23,1
151,INC0000087,54,1
152,INC0000087,54,1
153,INC0000087,54,1
154,INC0000087,54,1
155,INC0000088,70,1
156,INC0000088,70,1
157,INC0000088,70,1
158,INC0000089,68,97
159,INC0000089,68,97
160,INC0000089,70,1
161,INC0000089,58,76
162,INC0000089,33,1
163,INC0000089,33,216
164,INC0000089,33,216
165,INC0000089,33,216
166,INC0000089,33,216
167,INC0000089,33,216
168,INC0000092,27,1
169,INC0000092,27,1
170,INC0000092,72,1
171,INC0000092,72,1
172,INC0000092,72,1
173,INC0000093,70,1
174,INC0000093,70,1
175,INC0000094,66,193
176,INC0000094,66,193
177,INC0000094,66,193
178,INC0000094,66,193
179,INC0000094,66,193
180,INC0000098,70,1
181,INC0000098,70,1
182,INC0000098,54,1
183,INC0000098,54,1
184,INC0000098,54,1
185,INC0000098,54,1
186,INC0000099,70,201
187,INC0000099,30,201
188,INC0000099,30,201
189,INC0000099,30,201
190,INC0000100,54,1
191,INC0000100,54,1
192,INC0000100,54,1
193,INC0000100,54,1
194,INC0000101,65,180
195,INC0000101,65,180
196,INC0000101,65,180
197,INC0000101,65,180
198,INC0000101,65,180
199,INC0000101,65,180
200,INC0000101,65,180
201,INC0000102,70,31
202,INC0000102,70,31
203,INC0000102,70,31
204,INC0000102,70,31
205,INC0000102,70,31
206,INC0000102,70,31
207,INC0000102,70,31
208,INC0000102,50,31
209,INC0000102,50,31
210,INC0000102,70,31
211,INC0000102,29,31
212,INC0000102,23,31
213,INC0000102,23,31
214,INC0000102,23,31
215,INC0000102,23,31
216,INC0000102,23,31
217,INC0000102,23,31
218,INC0000102,23,31
219,INC0000102,23,31
220,INC0000103,54,1
221,INC0000103,54,1
222,INC0000103,54,1
223,INC0000103,54,1
224,INC0000104,70,201
225,INC0000104,70,201
226,INC0000104,70,201
227,INC0000104,70,201
228,INC0000104,30,201
229,INC0000104,30,201
230,INC0000104,30,201
231,INC0000105,70,1
232,INC0000105,70,1
233,INC0000105,70,1
234,INC0000105,70,1
235,INC0000105,55,1
236,INC0000105,55,1
237,INC0000105,55,1
238,INC0000105,55,1
239,INC0000110,54,1
240,INC0000110,54,1
241,INC0000110,54,1
242,INC0000110,54,1
243,INC0000111,54,1
244,INC0000111,54,1
245,INC0000111,54,1
246,INC0000111,54,1
247,INC0000112,70,215
248,INC0000112,25,215
249,INC0000112,23,215
250,INC0000112,23,215
251,INC0000112,23,215
252,INC0000112,23,215
253,INC0000113,25,227
254,INC0000113,25,227
255,INC0000113,25,227
256,INC0000113,25,227
257,INC0000113,25,227
258,INC0000114,54,1
259,INC0000114,54,1
260,INC0000114,54,1
261,INC0000114,70,1
262,INC0000114,70,1
263,INC0000114,70,1
264,INC0000114,70,1
265,INC0000114,70,1
266,INC0000114,70,1
267,INC0000115,70,89
268,INC0000115,62,89
269,INC0000115,24,89
270,INC0000115,24,89
271,INC0000115,24,89
272,INC0000115,24,89
273,INC0000116,27,1
274,INC0000116,47,1
275,INC0000116,47,1
276,INC0000116,47,1
277,INC0000119,24,89
278,INC0000119,24,89
279,INC0000119,24,89
280,INC0000119,24,89
281,INC0000121,23,1
282,INC0000121,23,1
283,INC0000121,23,1
284,INC0000122,70,1
285,INC0000122,22,1
286,INC0000122,22,1
287,INC0000122,22,1
288,INC0000122,22,1
289,INC0000123,54,1
290,INC0000123,54,1
291,INC0000123,54,1
292,INC0000123,54,1
293,INC0000124,33,159
294,INC0000124,33,159
295,INC0000124,33,159
296,INC0000124,33,159
297,INC0000125,70,170
298,INC0000125,70,170
299,INC0000125,27,170
300,INC0000125,27,170
301,INC0000125,27,170
302,INC0000125,27,170
303,INC0000125,27,170
304,INC0000126,54,1
305,INC0000126,54,1
306,INC0000126,54,1
307,INC0000126,54,1
308,INC0000128,12,99
309,INC0000128,12,99
310,INC0000128,70,99
311,INC0000128,70,186
312,INC0000128,39,99
313,INC0000128,39,99
314,INC0000128,39,99
315,INC0000129,70,253
316,INC0000129,70,253
317,INC0000129,70,253
318,INC0000129,70,253
319,INC0000129,70,253
320,INC0000129,70,253
321,INC0000129,70,253
322,INC0000129,29,253
323,INC0000129,24,253
324,INC0000129,24,253
325,INC0000129,24,253
326,INC0000129,24,253
327,INC0000129,24,253
328,INC0000130,72,1
329,INC0000130,73,1
330,INC0000130,73,198
331,INC0000130,73,198
332,INC0000130,73,198
333,INC0000130,73,198
334,INC0000131,66,175
335,INC0000131,66,175
336,INC0000131,66,175
337,INC0000131,66,175
338,INC0000132,70,135
339,INC0000132,25,135
340,INC0000132,23,135
341,INC0000132,23,135
342,INC0000132,23,135
343,INC0000132,23,135
344,INC0000134,72,216
345,INC0000134,73,216
346,INC0000134,73,198
347,INC0000134,73,198
348,INC0000134,73,198
349,INC0000135,70,216
350,INC0000135,70,216
351,INC0000135,70,216
352,INC0000135,70,216
353,INC0000135,70,216
354,INC0000135,70,216
355,INC0000135,70,216
356,INC0000135,70,216
357,INC0000137,70,1
358,INC0000137,70,1
359,INC0000137,70,1
360,INC0000137,70,1
361,INC0000139,70,1
362,INC0000139,70,1
363,INC0000139,54,1
364,INC0000139,54,1
365,INC0000139,54,1
366,INC0000139,54,1
367,INC0000140,70,94
368,INC0000140,70,94
369,INC0000140,70,94
370,INC0000140,25,1
371,INC0000140,25,125
372,INC0000140,25,125
373,INC0000140,25,125
374,INC0000141,54,1
375,INC0000141,54,1
376,INC0000141,54,1
377,INC0000141,54,1
378,INC0000146,54,1
379,INC0000146,54,1
380,INC0000146,54,1
381,INC0000146,54,1
382,INC0000147,27,125
383,INC0000147,27,125
384,INC0000147,25,125
385,INC0000147,25,125
386,INC0000147,25,125
387,INC0000147,25,125
388,INC0000147,25,125
389,INC0000148,54,1
390,INC0000148,54,1
391,INC0000148,54,1
392,INC0000148,54,1
393,INC0000149,54,1
394,INC0000149,54,1
395,INC0000149,54,1
396,INC0000149,54,1
397,INC0000152,30,201
398,INC0000152,30,201
399,INC0000152,30,201
400,INC0000152,30,201
401,INC0000152,30,201
402,INC0000153,54,1
403,INC0000153,54,1
404,INC0000153,54,1
405,INC0000153,54,1
406,INC0000155,54,1
407,INC0000155,54,1
408,INC0000155,54,1
409,INC0000155,54,1
410,INC0000156,54,1
411,INC0000156,54,1
412,INC0000156,54,1
413,INC0000156,54,1
414,INC0000158,54,1
415,INC0000158,54,1
416,INC0000158,54,1
417,INC0000159,70,1
418,INC0000159,70,1
419,INC0000159,28,1
420,INC0000159,28,1
421,INC0000159,28,1
422,INC0000159,28,1
423,INC0000160,70,175
424,INC0000160,70,175
425,INC0000161,70,31
426,INC0000161,70,31
427,INC0000161,70,31
428,INC0000161,25,31
429,INC0000161,29,31
430,INC0000161,29,31
431,INC0000161,29,31
432,INC0000161,29,31
433,INC0000161,29,31
434,INC0000161,29,31
435,INC0000161,29,31
436,INC0000164,70,1
437,INC0000164,66,1
438,INC0000164,70,1
439,INC0000164,70,1
440,INC0000164,70,1
441,INC0000164,70,1
442,INC0000164,70,1
443,INC0000166,27,170
444,INC0000166,27,170
445,INC0000166,27,170
446,INC0000166,27,170
447,INC0000167,70,1
448,INC0000167,70,17
449,INC0000167,70,17
450,INC0000167,70,17
451,INC0000168,24,89
452,INC0000168,24,89
453,INC0000168,24,89
454,INC0000169,54,1
455,INC0000169,54,1
456,INC0000169,54,1
457,INC0000171,70,1
458,INC0000171,70,1
459,INC0000171,70,1
460,INC0000171,70,1
461,INC0000171,70,1
462,INC0000171,29,1
463,INC0000171,23,1
464,INC0000171,1,1
465,INC0000171,1,1
466,INC0000171,1,1
467,INC0000171,1,1
468,INC0000171,1,1
469,INC0000171,70,149
470,INC0000171,70,149
471,INC0000172,70,188
472,INC0000172,70,188
473,INC0000172,70,188
474,INC0000172,70,94
475,INC0000172,70,94
476,INC0000172,20,188
477,INC0000172,20,188
478,INC0000172,20,188
479,INC0000172,20,188
480,INC0000172,20,188
481,INC0000173,65,4
482,INC0000173,65,4
483,INC0000173,65,4
484,INC0000173,65,4
485,INC0000173,65,4
486,INC0000173,65,4
487,INC0000173,65,4
488,INC0000173,65,4
489,INC0000174,70,1
490,INC0000174,70,1
491,INC0000174,70,1
492,INC0000174,54,1
493,INC0000174,54,1
494,INC0000174,54,1
495,INC0000174,54,1
496,INC0000176,54,1
497,INC0000176,54,1
498,INC0000176,54,1
499,INC0000178,70,1
500,INC0000178,70,1
501,INC0000178,70,1
502,INC0000178,70,1
503,INC0000179,28,236
504,INC0000179,28,236
505,INC0000179,28,236
506,INC0000192,70,1
507,INC0000192,70,1
508,INC0000192,70,1
509,INC0000193,70,83
510,INC0000193,70,33
511,INC0000193,46,1
512,INC0000193,46,83
513,INC0000193,46,83
514,INC0000193,46,83
515,INC0000194,70,1
516,INC0000194,70,1
517,INC0000194,70,1
518,INC0000195,54,1
519,INC0000195,54,1
520,INC0000195,54,1
521,INC0000195,54,1
522,INC0000197,70,170
523,INC0000197,72,170
524,INC0000197,67,170
525,INC0000197,27,170
526,INC0000197,27,170
527,INC0000197,27,170
528,INC0000197,27,170
529,INC0000197,27,170
530,INC0000197,27,170
531,INC0000197,27,170
532,INC0000197,27,170
533,INC0000197,70,1
534,INC0000197,55,1
535,INC0000197,55,1
536,INC0000197,20,1
537,INC0000197,27,1
538,INC0000197,27,170
539,INC0000197,27,170
540,INC0000197,27,170
541,INC0000197,27,170
542,INC0000197,27,170
543,INC0000197,27,170
544,INC0000197,27,170
545,INC0000197,27,170
546,INC0000197,27,170
547,INC0000197,27,170
548,INC0000199,70,149
549,INC0000199,70,149
550,INC0000204,23,1
551,INC0000204,23,1
552,INC0000204,23,1
553,INC0000204,23,1
554,INC0000207,70,1
555,INC0000207,70,1
556,INC0000207,70,1
557,INC0000207,70,26
558,INC0000207,70,26
559,INC0000211,70,94
560,INC0000211,70,94
561,INC0000211,70,94
562,INC0000211,70,94
563,INC0000211,70,94
564,INC0000213,70,1
565,INC0000213,70,1
566,INC0000213,70,1
567,INC0000217,70,31
568,INC0000217,25,31
569,INC0000217,29,31
570,INC0000217,29,31
571,INC0000217,29,31
572,INC0000217,29,31
573,INC0000217,29,31
574,INC0000217,29,31
575,INC0000218,70,1
576,INC0000218,23,1
577,INC0000218,23,1
578,INC0000218,23,1
579,INC0000218,23,1
580,INC0000218,23,1
581,INC0000218,23,1
582,INC0000220,70,69
583,INC0000220,23,69
584,INC0000220,23,69
585,INC0000220,23,69
586,INC0000220,23,69
587,INC0000220,23,69
588,INC0000221,70,1
589,INC0000221,74,1
590,INC0000221,74,145
591,INC0000221,74,145
592,INC0000221,74,145
593,INC0000223,70,176
594,INC0000223,5,176
595,INC0000223,5,176
596,INC0000223,5,176
597,INC0000223,5,176
598,INC0000223,5,176
599,INC0000223,5,176
600,INC0000223,5,176
601,INC0000223,5,176
602,INC0000223,5,176
603,INC0000228,27,170
604,INC0000228,27,170
605,INC0000228,27,170
606,INC0000228,27,170
607,INC0000230,34,159
608,INC0000230,33,159
609,INC0000230,33,159
610,INC0000230,33,159
611,INC0000230,33,159
612,INC0000230,33,159
613,INC0000230,33,159
614,INC0000230,33,159
615,INC0000230,33,159
616,INC0000230,33,159
617,INC0000232,12,1
618,INC0000232,12,1
619,INC0000232,70,1
620,INC0000232,70,1
621,INC0000232,70,1
622,INC0000232,70,1
623,INC0000232,70,1
624,INC0000232,70,1
625,INC0000232,70,1
626,INC0000232,70,1
627,INC0000232,70,1
628,INC0000232,70,150
629,INC0000232,70,150
630,INC0000236,70,1
631,INC0000236,70,1
632,INC0000236,70,1
633,INC0000236,70,1
634,INC0000237,70,33
635,INC0000237,70,33
636,INC0000237,70,33
637,INC0000237,70,33
638,INC0000246,70,34
639,INC0000246,70,17
640,INC0000246,70,17
641,INC0000246,70,17
642,INC0000246,27,1
643,INC0000246,27,34
644,INC0000246,27,34
645,INC0000246,27,34
646,INC0000246,27,34
647,INC0000250,65,1
648,INC0000250,54,1
649,INC0000250,54,1
650,INC0000250,70,1
651,INC0000250,70,1
652,INC0000250,54,1
653,INC0000250,54,1
654,INC0000250,70,1
655,INC0000250,70,1
656,INC0000250,70,1
657,INC0000250,70,1
658,INC0000250,70,1
659,INC0000250,70,1
660,INC0000250,70,1
661,INC0000250,70,150
662,INC0000250,70,150
663,INC0000250,70,150
664,INC0000253,25,1
665,INC0000253,28,1
666,INC0000253,28,1
667,INC0000253,28,1
668,INC0000253,28,1
669,INC0000253,28,1
670,INC0000253,28,1
671,INC0000257,12,1
672,INC0000257,12,1
673,INC0000257,12,1
674,INC0000257,12,1
675,INC0000259,70,170
676,INC0000259,70,33
677,INC0000259,27,1
678,INC0000259,27,1
679,INC0000259,27,170
680,INC0000259,27,170
681,INC0000259,27,170
682,INC0000259,27,170
683,INC0000259,27,170
684,INC0000259,27,170
685,INC0000260,69,1
686,INC0000260,69,1
687,INC0000260,69,1
688,INC0000261,3,71
689,INC0000261,3,71
690,INC0000261,3,71
691,INC0000261,3,71
692,INC0000261,3,71
693,INC0000261,3,71
694,INC0000261,3,71
695,INC0000261,3,71
696,INC0000262,70,78
697,INC0000262,70,78
698,INC0000262,28,78
699,INC0000262,28,78
700,INC0000262,28,78
701,INC0000262,28,78
702,INC0000262,28,78
703,INC0000262,28,78
704,INC0000265,70,1
705,INC0000265,20,1
706,INC0000265,70,1
707,INC0000265,20,1
708,INC0000265,69,1
709,INC0000265,69,1
710,INC0000265,69,1
711,INC0000265,69,1
712,INC0000266,70,78
713,INC0000266,70,78
714,INC0000266,70,78
715,INC0000266,70,78
716,INC0000266,70,78
717,INC0000266,28,78
718,INC0000266,28,78
719,INC0000266,28,78
720,INC0000266,28,78
721,INC0000266,28,78
722,INC0000266,28,78
723,INC0000266,28,78
724,INC0000268,29,170
725,INC0000268,29,170
726,INC0000268,27,170
727,INC0000268,27,170
728,INC0000268,27,170
729,INC0000268,27,170
730,INC0000268,27,170
731,INC0000268,27,170
732,INC0000268,27,170
733,INC0000268,27,170
734,INC0000268,27,170
735,INC0000268,27,170
736,INC0000268,27,170
737,INC0000268,27,170
738,INC0000268,27,170
739,INC0000268,27,170
740,INC0000268,27,170
741,INC0000268,27,170
742,INC0000269,70,1
743,INC0000269,70,1
744,INC0000272,3,1
745,INC0000272,3,1
746,INC0000272,3,1
747,INC0000272,3,1
748,INC0000272,70,1
749,INC0000272,70,1
750,INC0000272,55,1
751,INC0000272,55,1
752,INC0000272,70,1
753,INC0000272,39,1
754,INC0000272,39,1
755,INC0000272,39,1
756,INC0000273,70,215
757,INC0000273,70,215
758,INC0000273,23,215
759,INC0000273,23,215
760,INC0000273,23,215
761,INC0000273,23,215
762,INC0000278,55,134
763,INC0000278,55,134
764,INC0000278,55,134
765,INC0000278,55,134
766,INC0000278,55,134
767,INC0000278,55,134
768,INC0000279,70,1
769,INC0000279,70,1
770,INC0000279,70,1
771,INC0000279,70,1
772,INC0000280,70,1
773,INC0000280,69,1
774,INC0000280,70,1
775,INC0000280,20,1
776,INC0000280,27,1
777,INC0000280,27,34
778,INC0000280,27,34
779,INC0000280,27,34
780,INC0000280,70,1
781,INC0000280,70,1
782,INC0000280,70,1
783,INC0000280,70,1
784,INC0000282,70,1
785,INC0000282,70,1
786,INC0000282,70,1
787,INC0000282,70,1
788,INC0000283,70,183
789,INC0000283,70,186
790,INC0000283,70,186
791,INC0000283,70,186
792,INC0000283,39,1
793,INC0000283,39,1
794,INC0000283,39,183
795,INC0000283,39,183
796,INC0000283,39,183
797,INC0000284,28,78
798,INC0000284,28,78
799,INC0000284,28,78
800,INC0000284,28,78
801,INC0000284,28,78
802,INC0000284,28,78
803,INC0000285,70,1
804,INC0000285,70,1
805,INC0000285,70,1
806,INC0000285,70,1
807,INC0000285,70,1
808,INC0000285,70,1
809,INC0000286,70,1
810,INC0000286,28,1
811,INC0000286,28,1
812,INC0000286,28,1
813,INC0000286,28,1
814,INC0000290,70,149
815,INC0000290,70,149
816,INC0000292,12,236
817,INC0000292,28,236
818,INC0000292,70,236
819,INC0000292,70,127
820,INC0000292,70,127
821,INC0000292,70,127
822,INC0000292,28,1
823,INC0000292,28,236
824,INC0000292,28,236
825,INC0000292,28,236
826,INC0000294,23,57
827,INC0000294,25,57
828,INC0000294,25,57
829,INC0000294,25,57
830,INC0000294,25,57
831,INC0000294,25,57
832,INC0000294,25,57
833,INC0000294,25,57
834,INC0000294,25,57
835,INC0000294,25,57
836,INC0000294,25,57
837,INC0000294,25,57
838,INC0000294,25,57
839,INC0000294,25,57
840,INC0000294,25,57
841,INC0000294,25,57
842,INC0000294,25,57
843,INC0000294,25,57
844,INC0000294,25,57
845,INC0000294,25,57
846,INC0000294,25,57
847,INC0000295,23,69
848,INC0000295,23,69
849,INC0000295,23,69
850,INC0000295,23,69
851,INC0000295,23,69
852,INC0000297,23,69
853,INC0000297,23,69
854,INC0000297,23,69
855,INC0000297,23,69
856,INC0000297,23,69
857,INC0000297,23,69
858,INC0000298,66,175
859,INC0000298,66,175
860,INC0000298,66,18
861,INC0000298,66,18
862,INC0000298,66,18
863,INC0000301,67,1
864,INC0000301,55,1
865,INC0000301,55,1
866,INC0000301,55,1
867,INC0000301,55,1
868,INC0000301,55,1
869,INC0000301,55,1
870,INC0000302,70,31
871,INC0000302,70,31
872,INC0000302,23,31
873,INC0000302,23,31
874,INC0000302,23,215
875,INC0000302,23,215
876,INC0000302,23,215
877,INC0000302,29,1
878,INC0000302,29,31
879,INC0000302,29,31
880,INC0000303,33,159
881,INC0000303,33,159
882,INC0000303,33,159
883,INC0000303,33,159
884,INC0000303,33,159
885,INC0000303,33,159
886,INC0000303,33,159
887,INC0000303,33,159
888,INC0000304,23,69
889,INC0000304,23,69
890,INC0000304,23,69
891,INC0000304,23,69
892,INC0000304,23,69
893,INC0000304,23,69
894,INC0000305,70,78
895,INC0000305,70,78
896,INC0000305,70,78
897,INC0000305,70,78
898,INC0000305,70,78
899,INC0000305,70,78
900,INC0000305,28,78
901,INC0000305,28,78
902,INC0000305,28,78
903,INC0000305,28,78
904,INC0000306,54,1
905,INC0000306,54,1
906,INC0000306,54,1
907,INC0000306,54,1
908,INC0000307,66,175
909,INC0000307,66,175
910,INC0000307,66,18
911,INC0000307,66,18
912,INC0000307,66,18
913,INC0000310,66,175
914,INC0000310,66,175
915,INC0000310,66,175
916,INC0000310,66,175
917,INC0000315,30,1
918,INC0000315,72,1
919,INC0000315,72,48
920,INC0000315,72,1
921,INC0000315,72,1
922,INC0000315,72,1
923,INC0000317,66,175
924,INC0000317,66,175
925,INC0000317,66,175
926,INC0000317,66,175
927,INC0000317,66,175
928,INC0000317,66,175
929,INC0000318,66,175
930,INC0000318,66,175
931,INC0000318,66,175
932,INC0000318,66,175
933,INC0000318,66,175
934,INC0000318,66,175
935,INC0000319,25,83
936,INC0000319,46,83
937,INC0000319,46,83
938,INC0000319,46,83
939,INC0000319,46,83
940,INC0000323,70,1
941,INC0000323,70,1
942,INC0000324,31,182
943,INC0000324,31,182
944,INC0000324,31,182
945,INC0000324,31,182
946,INC0000324,31,182
947,INC0000325,66,203
948,INC0000325,66,203
949,INC0000325,66,203
950,INC0000325,66,203
951,INC0000329,55,84
952,INC0000329,55,84
953,INC0000329,28,1
954,INC0000329,28,1
955,INC0000329,28,1
956,INC0000329,70,1
957,INC0000329,55,1
958,INC0000329,55,84
959,INC0000329,55,84
960,INC0000329,28,1
961,INC0000329,28,1
962,INC0000329,28,78
963,INC0000329,28,78
964,INC0000329,28,78
965,INC0000329,28,78
966,INC0000329,28,78
967,INC0000330,66,203
968,INC0000330,66,203
969,INC0000330,66,203
970,INC0000330,66,203
971,INC0000330,66,203
972,INC0000332,70,1
973,INC0000332,70,1
974,INC0000332,70,1
975,INC0000332,23,1
976,INC0000332,23,1
977,INC0000332,70,1
978,INC0000332,70,1
979,INC0000332,20,1
980,INC0000332,20,1
981,INC0000332,25,1
982,INC0000332,70,1
983,INC0000332,70,1
984,INC0000332,70,1
985,INC0000332,70,1
986,INC0000332,70,1
987,INC0000332,70,33
988,INC0000332,70,33
989,INC0000333,66,175
990,INC0000333,66,175
991,INC0000333,66,175
992,INC0000336,66,175
993,INC0000336,66,175
994,INC0000336,66,175
995,INC0000336,66,175
996,INC0000337,66,175
997,INC0000337,66,175
998,INC0000337,66,175
999,INC0000338,66,203
1000,INC0000338,66,203
1001,INC0000338,66,203
1002,INC0000338,66,203
1003,INC0000338,66,203
1004,INC0000339,23,1
1005,INC0000339,23,1
1006,INC0000339,23,1
1007,INC0000341,66,193
1008,INC0000341,66,193
1009,INC0000341,66,193
1010,INC0000341,66,193
1011,INC0000341,66,193
1012,INC0000341,66,193
1013,INC0000341,66,193
1014,INC0000341,66,193
1015,INC0000343,31,182
1016,INC0000343,31,182
1017,INC0000343,31,182
1018,INC0000343,31,182
1019,INC0000343,31,182
1020,INC0000345,1,1
1021,INC0000345,1,1
1022,INC0000345,70,1
1023,INC0000345,23,1
1024,INC0000345,23,1
1025,INC0000345,23,1
1026,INC0000345,23,1
1027,INC0000345,23,1
1028,INC0000345,23,1
1029,INC0000346,66,203
1030,INC0000346,66,203
1031,INC0000346,66,175
1032,INC0000346,66,175
1033,INC0000346,66,175
1034,INC0000347,30,184
1035,INC0000347,30,184
1036,INC0000347,30,184
1037,INC0000347,30,184
1038,INC0000347,30,184
1039,INC0000348,31,182
1040,INC0000348,31,182
1041,INC0000348,31,182
1042,INC0000348,31,182
1043,INC0000348,31,182
1044,INC0000348,31,182
1045,INC0000348,31,182
1046,INC0000351,66,203
1047,INC0000351,66,203
1048,INC0000351,66,203
1049,INC0000351,66,203
1050,INC0000352,70,28
1051,INC0000352,70,28
1052,INC0000353,70,1
1053,INC0000353,70,1
1054,INC0000355,30,184
1055,INC0000355,30,184
1056,INC0000355,30,184
1057,INC0000355,30,184
1058,INC0000355,30,184
1059,INC0000356,70,242
1060,INC0000356,70,242
1061,INC0000356,26,242
1062,INC0000356,26,242
1063,INC0000356,70,242
1064,INC0000356,26,242
1065,INC0000356,26,242
1066,INC0000356,26,242
1067,INC0000356,26,242
1068,INC0000357,70,33
1069,INC0000357,70,33
1070,INC0000357,70,33
1071,INC0000357,70,1
1072,INC0000357,70,1
1073,INC0000357,70,1
1074,INC0000358,1,1
1075,INC0000358,1,1
1076,INC0000358,1,1
1077,INC0000358,1,1
1078,INC0000358,1,1
1079,INC0000359,31,182
1080,INC0000359,31,182
1081,INC0000359,31,182
1082,INC0000359,31,182
1083,INC0000359,31,182
1084,INC0000359,31,182
1085,INC0000359,31,182
1086,INC0000359,31,182
1087,INC0000359,31,182
1088,INC0000361,53,130
1089,INC0000361,53,212
1090,INC0000361,53,121
1091,INC0000361,53,121
1092,INC0000361,54,129
1093,INC0000361,54,130
1094,INC0000361,54,130
1095,INC0000361,54,130
1096,INC0000363,31,182
1097,INC0000363,31,182
1098,INC0000363,31,182
1099,INC0000363,31,182
1100,INC0000363,31,182
1101,INC0000369,39,1
1102,INC0000369,39,1
1103,INC0000369,39,1
1104,INC0000370,30,201
1105,INC0000370,30,201
1106,INC0000370,30,201
1107,INC0000370,30,201
1108,INC0000370,30,201
1109,INC0000370,30,201
1110,INC0000371,31,182
1111,INC0000371,31,182
1112,INC0000371,31,182
1113,INC0000371,31,182
1114,INC0000371,31,182
1115,INC0000371,31,182
1116,INC0000372,29,31
1117,INC0000372,29,31
1118,INC0000372,29,31
1119,INC0000372,29,31
1120,INC0000373,33,159
1121,INC0000373,33,159
1122,INC0000373,33,159
1123,INC0000373,33,159
1124,INC0000373,33,159
1125,INC0000374,70,1
1126,INC0000374,70,186
1127,INC0000374,70,186
1128,INC0000374,70,186
1129,INC0000375,31,182
1130,INC0000375,31,182
1131,INC0000375,31,182
1132,INC0000375,31,182
1133,INC0000375,31,182
1134,INC0000375,31,182
1135,INC0000375,31,182
1136,INC0000376,72,1
1137,INC0000376,73,1
1138,INC0000376,73,198
1139,INC0000376,73,198
1140,INC0000377,23,1
1141,INC0000377,23,1
1142,INC0000377,23,1
1143,INC0000377,23,1
1144,INC0000378,31,182
1145,INC0000378,31,182
1146,INC0000378,31,182
1147,INC0000378,31,182
1148,INC0000379,56,166
1149,INC0000379,56,166
1150,INC0000379,56,166
